scope,speed_mps,lower_speed_mps,upper_speed_mps,budget_ms,transition,status,previous_safe_stop_rate_gain,safe_stop_rate_gain,ray_count_gain,adverse,classification_rule
within_speed,2.0,,,0.5,true-brute_to_mesh-bvh,persists,,0.5989583333333334,352,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,0.5,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,1.0,true-brute_to_mesh-bvh,persists,,0.13333333333333333,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,1.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,2.0,true-brute_to_mesh-bvh,persists,,0.13333333333333333,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,2.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,5.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,5.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,8.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,8.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,11.910703750000001,true-brute_to_mesh-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,2.0,,,11.910703750000001,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,0.5,true-brute_to_mesh-bvh,persists,,0.6552083333333333,352,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,0.5,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,1.0,true-brute_to_mesh-bvh,persists,,0.384375,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,1.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,2.0,true-brute_to_mesh-bvh,persists,,0.384375,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,2.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,5.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,5.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,8.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,8.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,11.910703750000001,true-brute_to_mesh-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,3.0,,,11.910703750000001,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,0.5,true-brute_to_mesh-bvh,persists,,0.6552083333333333,352,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,0.5,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,1.0,true-brute_to_mesh-bvh,persists,,0.6552083333333333,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,1.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,2.0,true-brute_to_mesh-bvh,persists,,0.6552083333333333,344,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,2.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,5.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,5.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,8.0,true-brute_to_mesh-bvh,narrows,,0.0,232,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,8.0,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,11.910703750000001,true-brute_to_mesh-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
within_speed,4.0,,,11.910703750000001,mesh-bvh_to_scene-bvh,disappears,,0.0,0,False,reverses=negative ray or safety gain; disappears=both gains zero; narrows=zero safety gain with positive rays; persists=otherwise
